item_name,vendor_name,quantity,unit_price,total_price,category,priority,specifications,order_date
Incubator Filters,Harshit Khemani - Equipment Parts,11,250.0,2750.0,Equipment Parts,High,HEPA filters for CO2 incubator,2025-06-20T18:22:03.025618
Bunsen Burner Gas,Harshit Khemani - Equipment Parts,9,95.0,855.0,Equipment,High,Propane cartridge for lab burner,2025-06-20T18:22:03.025618
Safety Goggles,Harshit Khemani - Lab Supplies Co,17,120.0,2040.0,Safety Equipment,High,Chemical splash protection,2025-06-20T18:22:03.025618
Laboratory Beakers (250ml),Harshit Khemani - Chemical Solutions,21,85.0,1785.0,Glassware,High,Borosilicate glass graduated,2025-06-20T18:22:03.025618
pH Buffer Solution (7.0),Harshit Khemani - Chemical Solutions,22,180.0,3960.0,Chemicals,High,500ml bottle certified reference,2025-06-20T18:22:03.025618
Cell Culture Media,Harshit Khemani - Chemical Solutions,20,450.0,9000.0,Chemicals,Critical,DMEM with 10% FBS sterile,2025-06-20T18:22:03.025618
Microscope Slides,Harshit Khemani - Lab Supplies Co,25,3.5,87.5,Lab Supplies,High,Plain glass 75x25mm,2025-06-20T18:22:03.025618
Petri Dishes (100mm),Harshit Khemani - Lab Supplies Co,30,25.0,750.0,Lab Supplies,High,Sterile polystyrene with lid,2025-06-20T18:22:03.025618
Autoclave Tape,Harshit Khemani - Equipment Parts,7,15.0,105.0,Lab Supplies,High,Steam indicator tape 19mm,2025-06-20T18:22:03.025618
Eppendorf Tubes (1.5ml),Harshit Khemani - Lab Supplies Co,37,1.2,44.4,Lab Supplies,High,Sterile DNase/RNase free,2025-06-20T18:22:03.025618
Laboratory Gloves (Nitrile),Harshit Khemani - Lab Supplies Co,15,8.0,120.0,Safety Equipment,Critical,Powder-free size M,2025-06-20T18:22:03.025618
PCR Reaction Tubes,Harshit Khemani - Lab Supplies Co,48,2.0,96.0,Lab Supplies,High,0.2ml thin wall sterile,2025-06-20T18:22:03.025618
Centrifuge Tubes (50ml),Harshit Khemani - Equipment Parts,29,4.5,130.5,Lab Supplies,High,Sterile polypropylene conical,2025-06-20T18:22:03.025618
